n_estimators,max_samples,threshold_percentile,threshold,precision,recall,f1,false_positive_rate,accuracy,train_flagged_ratio
100,128,92.5,0.5765423718672248,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.076158940397351
100,128,95.0,0.5874574909243988,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
100,128,97.0,0.5928842511150183,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.039735099337748346
200,auto,92.5,0.5733163601031727,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.07947019867549669
200,auto,95.0,0.5780499192880717,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
200,auto,97.0,0.5838485520795872,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.033112582781456956
200,128,92.5,0.5813703898346995,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.07947019867549669
200,128,95.0,0.5940969202531363,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
200,128,97.0,0.5982804718012008,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.03642384105960265
200,256,92.5,0.5733163601031727,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.07947019867549669
200,256,95.0,0.5780499192880717,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
200,256,97.0,0.5838485520795872,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.033112582781456956
300,auto,92.5,0.5718431419182828,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.07947019867549669
300,auto,95.0,0.5742706532949143,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
300,auto,97.0,0.582184966975251,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.033112582781456956
300,128,92.5,0.5767358343567903,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.076158940397351
300,128,95.0,0.5935616816777094,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
300,128,97.0,0.596549557072655,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.03642384105960265
300,256,92.5,0.5718431419182828,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.07947019867549669
300,256,95.0,0.5742706532949143,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.052980132450331126
300,256,97.0,0.582184966975251,0.6666666666666666,1.0,0.8,0.03076923076923077,0.9710144927536232,0.033112582781456956
100,auto,90.0,0.5473266981751085,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.10264900662251655
100,auto,92.5,0.5687395686335041,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.076158940397351
100,auto,95.0,0.5727859365422475,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.052980132450331126
100,auto,97.0,0.5797346371036193,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.033112582781456956
100,256,90.0,0.5473266981751085,0.5,1.0,0.6666666666666666,0.06153846153846154,0.9420289855072463,0.10264900662251655
