id,request_id,timestamp,user_id,username,is_authenticated,role,session_id_hash,ip_address,user_agent,http_method,endpoint,path,action,action_type,is_sensitive,resource_type,resource_id,owner_id,permission,ownership_result,authorization_result,status_code,response_time_ms,file_size,export_item_count,export_total_size
1,ebcadc533218422aa5249364c86953e3,2026-08-10T08:40:21,,,0,,,127.0.0.1,StudyDriveNormalSimulator/casual,GET,auth.login,/auth/login,login,login,0,,,,ANONYMOUS,ANONYMOUS,allowed,200,0.878,,,
2,db4576a30ba643e1887658e43c05dd1d,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,POST,auth.login,/auth/login,login,login,0,,,,,,allowed,302,81.768,,,
3,2a1b6e9e040b4374baf77efcbb567470,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,main.dashboard,/dashboard,dashboard,list,0,,,,,,allowed,200,7.763,,,
4,5be7ea7fa3cf48d5afb9cff4286b24a9,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/1/download,download_file,view_detail,0,file,1,2,OWNER,OWNER,allowed,200,6.063,93,,
5,0e9fe87914a54246a743660ec8ac3d4b,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.585,,,
6,03fef46aa93c444095894c24283c489f,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.289,,,
7,bc0addcb98a64410ba4d72ac8a5b06f4,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.browse_folder,/folders/3,browse_folder,list,0,folder,3,2,OWNER,OWNER,allowed,200,8.165,,,
8,cc851fa10b3c4b45bb27f39245cba50c,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.file_detail,/files/9,view_file_detail,view_detail,0,file,9,2,OWNER,OWNER,allowed,200,4.696,96,,
9,a646df43188e4f6b8214accda16dcaa2,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.browse_folder,/folders/1,browse_folder,list,0,folder,1,2,OWNER,OWNER,allowed,200,7.477,,,
10,e3e32d25f46e4ae1847a6fed139f42fd,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,8.347,,,
11,8b2e1c7e7ddb4fdfb7861d1780a11c5c,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,6.521,,,
12,4db5e70808ab403798b6d40a487bff61,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/14/download,download_file,view_detail,0,file,14,2,OWNER,OWNER,allowed,200,6.282,116,,
13,7e4b7901d8704bda9e2cc4f4e1ff5253,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,6.542,,,
14,e68f1f3b61804211a9e93e3af4f31746,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/13/download,download_file,view_detail,0,file,13,2,OWNER,OWNER,allowed,200,4.949,106,,
15,4adf991a0f93432298ef3777afd5526d,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.519,,,
16,03068a9848434e2387c56c9ffe06de00,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/12/download,download_file,view_detail,0,file,12,2,OWNER,OWNER,allowed,200,4.973,106,,
17,5ecb938093ed413884ce9d09ff94712f,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,8.073,,,
18,bbf51e4b7e91456ba24613329edf2710,2026-08-10T08:40:21,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.browse_folder,/folders/1,browse_folder,list,0,folder,1,2,OWNER,OWNER,allowed,200,7.377,,,
19,c032787f131047d6bc8329cedda41ef4,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.shared_with_me,/shared-with-me,list_shared_files,list,0,,,,,,allowed,200,6.872,,,
20,64d0a80bb6e544daac33979d81091762,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/10/download,download_file,view_detail,0,file,10,2,OWNER,OWNER,allowed,200,5.177,84,,
21,504ab99f15ab43ad9d54dcbf542cc0b0,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,6.623,,,
22,d3b3ccaab69a4d83b74d52b22cbb9863,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,6.544,,,
23,5c681a6652f245e2be08eed1ed1ea827,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,8.814,,,
24,160a0939bb7745b9b5dfd86fd860fcbb,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.911,,,
25,7761c4ffd6b1422e95cac8affa17c39c,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.file_detail,/files/13,view_file_detail,view_detail,0,file,13,2,OWNER,OWNER,allowed,200,4.834,106,,
26,b51af03ecccc4f3e858cd31fdab3f285,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,8.712,,,
27,16afefb264f742ca91b4a16b0fc015d2,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.971,,,
28,21960b0c772342d29554e1d330efdac6,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.735,,,
29,770324731951477f9f2e1b0955e11235,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,7.853,,,
30,08ed64b1f9ae4c2abd1a6d18ca1cb408,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,58.2,,,
31,5af46b74f6a640aab6114a009e4bf994,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,12.731,,,
32,73662c8de3a7418eae953ab65a225053,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/4/download,download_file,view_detail,0,file,4,2,OWNER,OWNER,allowed,200,8.215,95,,
33,2396b13326174f44beb2b219679e383e,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.file_api,/api/files/1,api_view_file_detail,view_detail,0,file,1,2,OWNER,OWNER,allowed,200,6.452,93,,
34,64813ce30a9a40e1a2a95fdeb6bbd89c,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.rename_file,/files/1/rename,rename_file,edit,0,file,1,2,OWNER,OWNER,allowed,200,4.953,93,,
35,7d93fd82e1264ee182d8f23e6dcdc88b,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,POST,documents.rename_file,/files/1/rename,rename_file,edit,0,file,1,2,OWNER,OWNER,allowed,302,9.317,93,,
36,90b330bd45b346ab972912f4838870a6,2026-08-10T08:40:22,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,10.3,,,
37,be7a16e0401241b392e4dba893334b40,2026-08-10T08:40:23,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,0,,,,,,allowed,200,8.561,,,
38,46852f57925c46c9bb5bcccedbab33e5,2026-08-10T08:40:23,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/13/download,download_file,view_detail,0,file,13,2,OWNER,OWNER,allowed,200,4.33,106,,
39,5ac6b9a4b9f943c8b3af13cd4a0a19db,2026-08-10T08:40:23,2,user1,1,USER,0102d50e807764919b20c62c7fbda02c35b1f656845d3873c83ab02500f2eb8d,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/61/download,download_file,view_detail,0,file,61,6,VIEWER,VIEWER,allowed,200,11.138,93,,
