id,request_id,timestamp,user_id,username,is_authenticated,role,session_id_hash,ip_address,user_agent,http_method,endpoint,path,action,action_type,is_sensitive,resource_type,resource_id,owner_id,permission,ownership_result,authorization_result,status_code,response_time_ms,file_size,export_item_count,export_total_size,label,scenario,run_id,severity,scenario_id
1,568cc75309b541b1aa9305e27f5d47df,2026-08-12 05:42:13+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/casual,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.12,,,,0,normal,unknown_run,normal,
2099,d2dce4ec7f3f499fb45719359e1c6bd1,2026-08-12 05:44:33+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/active,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.079,,,,0,normal,unknown_run,normal,
4296,f1552b8251704d35a532bed4f3d338d0,2026-08-12 05:46:35+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/reviewer,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.507,,,,0,normal,unknown_run,normal,
6371,4f2aecfb53a947a4967f6e95b1030628,2026-08-12 05:48:30+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/casual,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,0.908,,,,0,normal,unknown_run,normal,
8469,4ca3f439f768450ca1f86b5f2f09a2e9,2026-08-12 05:50:29+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/active,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.235,,,,0,normal,unknown_run,normal,
10636,cff8e066518e42b8b8020ee3717fd490,2026-08-12 05:52:32+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveExportAbuseSimulator/mild,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.978,,,,0,normal,unknown_run,normal,
10653,a0b4cc953fab436a9169306f3b975996,2026-08-12 05:52:35+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveExportAbuseSimulator/medium,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.467,,,,0,normal,unknown_run,normal,
10687,eab5efe2bf71466db5ecd413e5cf58a2,2026-08-12 05:52:39+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveExportAbuseSimulator/high,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.613,,,,0,normal,unknown_run,normal,
10756,6b57f800bab7431e9132b176861253a3,2026-08-12 05:52:44+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveDeleteAbuseSimulator/mild,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.295,,,,0,normal,unknown_run,normal,
10770,efd4104af4424e688188b12f398caaf3,2026-08-12 05:52:46+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveDeleteAbuseSimulator/medium,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,0.864,,,,0,normal,unknown_run,normal,
10798,505ec949684f454ab2fe5fc7401efad2,2026-08-12 05:52:49+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveBolaScanSimulator/low-and-slow,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.437,,,,0,normal,unknown_run,normal,
10822,56adfba823d84c9c9d4364f09ae9dd91,2026-08-12 05:52:52+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveBolaScanSimulator/burst,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.144,,,,0,normal,unknown_run,normal,
855,22d0d9d4fa6045c3b60ec45672097924,2026-08-12 05:43:23+00:00,1,admin,True,ADMIN,50aad02d8baf4da68ec29e8f1f10278198bbc5d968d13ced75986679b339a490,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",GET,alerts.index,/alerts/,admin_list_alerts,admin,True,,,,ADMIN,ADMIN,allowed,200,21.832,,,,0,normal,unknown_run,normal,
